"Label"	"Sentence"
1	"I agree that it is important for college students to have part-time jobs."
1	"Currently, many college students have part-time jobs."
1	"Some students accept these jobs to learn how to adapt well in society and to gain more experience."
1	"For example, when my friend Lily attended college, she worked in a supermarket as a product promoter."
1	"She also served as a family tutor every weekend."
1	"Because of these experiences, she quickly obtained a good job after she graduated from university."
1	"However, some other students believe they can buy things they desire that their parents cannot afford to purchase for them."
1	"In contrast, I have a student friend who worked part-time as a waiter in a restaurant to earn enough money to buy a computer."
1	"Therefore, I believe it is important for college students to have part-time jobs."
1	"Occasionally, parents do not want students to have part-time jobs."
1	"Parents fear that students' studies will suffer."
1	"They also worry about students' safety."
1	"I believe part-time jobs are good for students."
1	"We should focus on the advantages offered by part-time jobs and make the most of them."
1	"We can learn knowledge when we have part-time jobs."
1	"They can be helpful tools we can use to improve our development."
1	"Over the last few years, part-time employment for college students has become very popular in big cities."
1	"Many people believe it is important for college students to have part-time jobs."
1	"However, I disagree and I can provide some reason to support my opinion."
1	"First, I believe people have important tasks to complete during different periods in their lives."
1	"For students, studying is a key word."
1	"If students are unable to study well, they can waste their time."
1	"Second, many students hope to reduce their parents' financial burdens by working part-time."
1	"Yet, this may hurt their studies."
1	"These students might not understand their parents' belief that students should study diligently so they can live better lives after they graduate."
1	"Therefore, it is important for students to focus a great deal of attention on their studies."
1	"It is not important for students to have part-time jobs during college."
1	"Students should learn and practice professional skills when they attend universities."
1	"This will help them earn more money in the future."
1	"I believe students should not be influenced by others' opinions."
1	"They should continue to learn knowledge so they can succeed in the future."
1	"Recently, people have been discussing whether it is important for college students to have part-time jobs."
1	"Opinions are divided on this question."
1	"Some people think it is good idea to obtain part-time jobs."
1	"However, other people disagree."
1	"I think it is important for college students to have part-time employment."
1	"If students work part-time, then they can relieve their parents' financial burdens."
1	"In addition, part-time jobs can improve their chances to practice their skills in society."
1	"However, some people disagree with this opinion."
1	"They claim that part-time jobs may waste students' time and negatively affect their studies."
1	"These people believe students should just study hard."
1	"In my opinion, I believe students should be selective when they apply for part-time jobs."
1	"This will help them gain the most knowledge possible while they work."
